#MERGE_MODE: UPDATE
FILENAME	CATEGORY_CD	COL_NBR	DATA_LABEL	ALT_DATA_LABEL	CTRL_VOCAB_CODE
PHENOTIPS_clinical.txt		1	STUDY_ID
PHENOTIPS_clinical.txt		2	SUBJ_ID
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Identification	3	Patient_ID		
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Identification	4	Identifer		
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Patient_name	5	First_Name		
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Patient_name	6	Last_Name
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information	7	Sex
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information	8	Life_status
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Birthdate	9	Birth_year
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Birthdate	10	Birth_month
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Birthdate	11	Birth_day
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Deathdate	12	Death_year
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Deathdate	13	Death_month
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Deathdate	14	Death_date
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Ethnicity	15	Paternal_ethnicity
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Ethnicity	16	Maternal_ethnicity
