FILENAME	CATEGORY_CD	COL_NBR	DATA_LABEL	ALT_DATA_LABEL	CTRL_VOCAB_CODE
PHENOTIPS_clinical.txt		1	SUBJ_ID
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Identification	2	Patient_ID		
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Identification	3	Identifer		
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Patient_name	4	First_Name		
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Patient_name	5	Last_Name
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information	6	Sex
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information	7	Life_status
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Birthdate	8	Birth_year
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Birthdate	9	Birth_month
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Birthdate	10	Birth_day
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Deathdate	11	Death_year
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Deathdate	12	Death_month
PHENOTIPS_clinical.txt	Phenotips_data+Patient_information+Deathdate	13	Death_date
